,State,val,desc
0,Alabama,1,"Salary Parity? Parity (all)
Requirements? No
Stipend/Tax Credit? No"
1,Alaska,0,"Salary Parity? Sub-Parity (some)
Requirements? No
Stipend/Tax Credit? No"
2,Arizona,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
3,Arkansas,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
4,California,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? No"
5,Colorado,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
6,Connecticut,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
7,Delaware,1,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? Yes"
8,District of Columbia,1,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? Yes"
9,Florida,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
10,Georgia,1,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? Yes"
11,Hawaii,0,"Salary Parity? Parity (all)
Requirements? No
Stipend/Tax Credit? No"
12,Idaho,0,"Salary Parity? Not Applicable
Requirements? No
Stipend/Tax Credit? No"
13,Illinois,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? Yes"
14,Indiana,0,"Salary Parity? Not Applicable
Requirements? No
Stipend/Tax Credit? No"
15,Iowa,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? No"
16,Kansas,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
17,Kentucky,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? No"
18,Louisiana,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? Yes"
19,Maine,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? No"
20,Maryland,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? Yes"
21,Massachusetts,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
22,Michigan,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
23,Minnesota,0,"Salary Parity? Partial Parity (some)
Requirements? No
Stipend/Tax Credit? Yes"
24,Mississippi,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? No"
25,Missouri,0,"Salary Parity? Sub-Parity (some)
Requirements? No
Stipend/Tax Credit? No"
26,Montana,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? No"
27,Nebraska,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? Yes"
28,Nevada,1,"Salary Parity? Parity (all)
Requirements? No
Stipend/Tax Credit? No"
29,New Hampshire,0,"Salary Parity? Not Applicable
Requirements? No
Stipend/Tax Credit? No"
30,New Jersey,0,"Salary Parity? Parity (all)
Requirements? No
Stipend/Tax Credit? No"
31,New Mexico,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? Yes"
32,New York,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
33,North Carolina,1,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? Yes"
34,North Dakota,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
35,Ohio,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
36,Oklahoma,1,"Salary Parity? Parity (all)
Requirements? No
Stipend/Tax Credit? No"
37,Oregon,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
38,Pennsylvania,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
39,Rhode Island,1,"Salary Parity? Parity (all)
Requirements? No
Stipend/Tax Credit? No"
40,South Carolina,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? No"
41,South Dakota,0,"Salary Parity? Not Applicable
Requirements? No
Stipend/Tax Credit? No"
42,Tennessee,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? Yes"
43,Texas,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? No"
44,Utah,0,"Salary Parity? Not Applicable
Requirements? No
Stipend/Tax Credit? No"
45,Vermont,1,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? No"
46,Virginia,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? No"
47,Washington,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? No"
48,West Virginia,0,"Salary Parity? Parity (some)
Requirements? No
Stipend/Tax Credit? No"
49,Wisconsin,0,"Salary Parity? No Parity
Requirements? No
Stipend/Tax Credit? Yes"
50,Wyoming,0,"Salary Parity? Not Applicable
Requirements? No
Stipend/Tax Credit? No"
